round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,hedge_weights
104,0,46.67%,56.19%,0.1969,"[0.7491934299468994, 0.250806599855423]","[0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735]"
105,1,47.17%,55.66%,1.718,"[0.8109126687049866, 0.18908727169036865]","[0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616]"
106,0,46.73%,56.07%,0.2728,"[0.7641364336013794, 0.235863596200943]","[0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616, 0.005153768230229616]"
107,1,47.22%,55.56%,2.0221,"[0.8629536628723145, 0.13704627752304077]","[0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753]"
108,0,46.79%,55.05%,0.1506,"[0.3194943368434906, 0.680505633354187]","[0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753, 0.004638391081243753]"
109,1,47.27%,54.55%,2.0454,"[0.8774693608283997, 0.12253067642450333]","[0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249]"
110,0,46.85%,54.95%,0.0548,"[0.9071316123008728, 0.09286834299564362]","[0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249, 0.004174551926553249]"
111,1,47.32%,54.46%,1.4006,"[0.7515829205513, 0.24841710925102234]","[0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382]"
112,0,46.90%,54.87%,0.0585,"[0.9354416131973267, 0.06455845385789871]","[0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382]"
113,0,46.49%,55.26%,0.1468,"[0.8639542460441589, 0.13604573905467987]","[0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382, 0.0037570965941995382]"
114,1,46.96%,55.65%,0.1879,"[0.1856660544872284, 0.814333975315094]","[0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913, 0.0033813868649303913]"
115,1,47.41%,55.17%,1.9447,"[0.8584861159324646, 0.14151380956172943]","[0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947]"
116,0,47.01%,55.56%,0.0765,"[0.9137651324272156, 0.08623483777046204]","[0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947, 0.0030432480853050947]"
117,1,47.46%,55.93%,0.6291,"[0.351450115442276, 0.6485498547554016]","[0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496, 0.0027389233000576496]"
118,1,47.90%,55.46%,1.2231,"[0.6566830277442932, 0.3433169722557068]","[0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627]"
119,0,47.50%,55.83%,0.4048,"[0.6714969277381897, 0.3285030722618103]","[0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627, 0.002465030876919627]"
120,1,47.93%,56.20%,0.5167,"[0.18749837577342987, 0.8125016093254089]","[0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714]"
121,0,47.54%,56.56%,0.1883,"[0.8484330773353577, 0.15156692266464233]","[0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714, 0.0022185277193784714]"
122,1,47.97%,56.10%,0.9303,"[0.6297034025192261, 0.3702965974807739]","[0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238, 0.001996674807742238]"
123,1,48.39%,56.45%,0.2232,"[0.18962690234184265, 0.8103731274604797]","[0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855, 0.0017970072804018855]"
124,1,48.80%,56.00%,0.7961,"[0.5447742938995361, 0.45522570610046387]","[0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036, 0.001617306494154036]"
125,1,49.21%,56.35%,0.2238,"[0.15470020473003387, 0.8452997803688049]","[0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036, 0.001455575809814036]"
126,1,49.61%,56.69%,0.5789,"[0.41098877787590027, 0.5890112519264221]","[0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645]"
127,0,49.22%,57.03%,0.2902,"[0.634857177734375, 0.3651428520679474]","[0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645, 0.0013100182404741645]"
128,1,49.61%,57.36%,0.0963,"[0.11173565685749054, 0.8882643580436707]","[0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802, 0.0011790164280682802]"
129,1,50.00%,57.69%,0.28,"[0.25525620579719543, 0.744743824005127]","[0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259, 0.001061114715412259]"
130,1,50.38%,58.02%,0.2182,"[0.17456969618797302, 0.8254303336143494]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
131,0,50.00%,57.58%,0.4516,"[0.2991511821746826, 0.7008488178253174]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
132,1,50.38%,57.89%,0.1082,"[0.1347109079360962, 0.8652890920639038]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
133,1,50.75%,58.21%,0.1882,"[0.16912367939949036, 0.830876350402832]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
134,0,50.37%,57.78%,1.2534,"[0.3526535630226135, 0.6473464369773865]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
135,1,50.74%,58.09%,0.237,"[0.1979282945394516, 0.8020716905593872]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
136,1,51.09%,58.39%,0.0863,"[0.08041775226593018, 0.9195823073387146]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
137,0,50.72%,57.97%,2.0692,"[0.12409557402133942, 0.875904381275177]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
138,1,51.08%,58.27%,0.0443,"[0.037095699459314346, 0.9629043340682983]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
139,1,51.43%,58.57%,0.0587,"[0.05809464678168297, 0.9419053196907043]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
140,0,51.06%,58.16%,1.1369,"[0.2267570048570633, 0.7732430100440979]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
141,0,50.70%,57.75%,2.5315,"[0.050699155777692795, 0.9493008255958557]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
142,1,51.05%,58.04%,0.0907,"[0.09024711698293686, 0.9097528457641602]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
143,0,50.69%,57.64%,1.3434,"[0.3180145025253296, 0.6819854378700256]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
144,0,50.34%,57.24%,1.8376,"[0.19451099634170532, 0.8054890036582947]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
145,0,50.00%,56.85%,1.0975,"[0.22057583928108215, 0.7794240713119507]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
146,1,50.34%,57.14%,0.0431,"[0.045393168926239014, 0.9546068906784058]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
147,0,50.00%,56.76%,0.9751,"[0.4697955548763275, 0.5302044153213501]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
148,0,49.66%,57.05%,0.4995,"[0.6255053281784058, 0.3744947016239166]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
149,0,49.33%,57.33%,1.3129,"[0.5426904559135437, 0.4573095142841339]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
150,0,49.01%,57.62%,0.6679,"[0.5237758159637451, 0.4762241244316101]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
151,1,49.34%,57.89%,0.2321,"[0.20939171314239502, 0.7906082272529602]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
152,1,49.67%,58.17%,0.1165,"[0.03868686780333519, 0.9613131880760193]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
153,1,50.00%,58.44%,0.3906,"[0.3256714344024658, 0.6743285655975342]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
154,1,50.32%,58.71%,0.1651,"[0.15030598640441895, 0.8496940732002258]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
155,0,50.00%,58.97%,0.1991,"[0.8776997327804565, 0.12230025976896286]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
156,1,50.32%,59.24%,0.531,"[0.4505387246608734, 0.5494612455368042]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
157,0,50.00%,59.49%,0.1308,"[0.8400101661682129, 0.1599898338317871]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
158,0,49.69%,59.12%,1.346,"[0.4160633385181427, 0.5839366912841797]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
159,0,49.38%,59.38%,0.0307,"[0.8728459477424622, 0.12715403735637665]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
160,1,49.69%,59.63%,0.0844,"[0.07221728563308716, 0.9277827739715576]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
161,0,49.38%,59.88%,0.2844,"[0.7393173575401306, 0.26068270206451416]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
162,0,49.08%,60.12%,0.105,"[0.8860953450202942, 0.11390459537506104]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
163,0,48.78%,60.37%,0.5292,"[0.7071284055709839, 0.2928715944290161]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
164,0,48.48%,60.61%,0.0613,"[0.7998466491699219, 0.20015329122543335]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
165,0,48.19%,60.84%,0.0972,"[0.9110758900642395, 0.08892416208982468]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
166,1,48.50%,60.48%,1.5295,"[0.7636669874191284, 0.2363329529762268]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
167,1,48.81%,60.12%,1.8905,"[0.8030363917350769, 0.19696363806724548]","[0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513, 0.0010000000474974513]"
